Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities,Facing,Owner_Type,Availability_Status
Jubilee Hills,Apartment,1,2743,87.72,0.03,1998,Furnished,26,14,27,3,8,Medium,Yes,Yes,"Pool, Playground, Gym",South,Owner,Under_Construction
Kokapet,Villa,5,1419,166.01,0.12,2004,Furnished,21,14,21,3,6,High,Yes,No,"Clubhouse, Pool, Garden",North,Owner,Ready_to_Move
Narsingi,Independent House,5,2199,14.14,0.01,2023,Furnished,3,4,2,9,10,High,Yes,Yes,"Playground, Garden, Clubhouse",East,Builder,Under_Construction
Kokapet,Independent House,4,4060,353.07,0.09,2017,Furnished,13,25,8,10,3,Medium,No,No,"Garden, Clubhouse, Playground",North,Builder,Under_Construction
Banjara Hills,Independent House,5,2861,24.6,0.01,2016,Furnished,3,10,9,7,9,High,No,Yes,"Playground, Gym, Garden",North,Builder,Ready_to_Move
Hitech City,Villa,4,1918,464.5,0.24,2004,Furnished,10,4,21,5,2,Medium,Yes,Yes,Garden,West,Owner,Under_Construction
Kokapet,Villa,1,3977,334.41,0.08,2009,Semi-furnished,11,20,16,8,4,Low,No,No,"Playground, Gym, Clubhouse",South,Builder,Under_Construction
Madhapur,Independent House,5,2389,235.45,0.1,1991,Furnished,12,17,34,2,5,Low,No,No,"Playground, Pool, Clubhouse, Garden",West,Broker,Ready_to_Move
Kokapet,Apartment,3,1614,286.79,0.18,2021,Furnished,30,4,4,6,8,Low,No,Yes,"Pool, Gym, Playground, Clubhouse, Garden",South,Builder,Under_Construction
Financial District,Villa,3,986,98.29,0.1,1996,Unfurnished,0,20,29,5,8,Low,No,No,"Clubhouse, Garden, Gym",South,Builder,Under_Construction
Banjara Hills,Apartment,3,4991,125.97,0.03,2022,Semi-furnished,20,27,3,4,9,Medium,Yes,No,Garden,West,Builder,Under_Construction
Madhapur,Apartment,3,708,338.48,0.48,1996,Furnished,17,3,29,7,2,Medium,No,Yes,"Gym, Clubhouse, Pool, Garden, Playground",South,Builder,Under_Construction
Gachibowli,Apartment,1,1427,216.57,0.15,2009,Semi-furnished,22,24,16,7,1,Medium,Yes,No,"Garden, Pool, Clubhouse, Gym",East,Builder,Ready_to_Move
Banjara Hills,Villa,1,3863,326.83,0.08,2010,Furnished,4,22,15,9,1,Low,Yes,Yes,"Clubhouse, Gym, Pool, Garden",South,Broker,Ready_to_Move
Jubilee Hills,Independent House,3,911,304.01,0.33,1996,Unfurnished,6,14,29,5,5,Medium,Yes,No,"Garden, Playground, Gym",West,Builder,Under_Construction
Narsingi,Independent House,4,3650,386.67,0.11,2016,Unfurnished,15,23,9,2,9,High,No,Yes,Garden,West,Builder,Under_Construction
Narsingi,Villa,2,3749,296.08,0.08,1994,Unfurnished,23,2,31,2,9,Low,Yes,Yes,"Clubhouse, Pool, Playground",South,Builder,Ready_to_Move
Hitech City,Villa,1,2612,374.1,0.14,2011,Furnished,27,18,14,3,6,Low,No,Yes,Playground,North,Broker,Ready_to_Move
Nanakramguda,Villa,5,1016,99.56,0.1,2017,Furnished,23,5,8,7,5,Medium,Yes,Yes,Garden,South,Builder,Ready_to_Move
Somajiguda,Independent House,3,1656,301.4,0.18,1998,Unfurnished,29,12,27,10,3,Low,Yes,Yes,Playground,West,Owner,Ready_to_Move
Financial District,Villa,3,560,422.43,0.75,1990,Semi-furnished,7,16,35,6,4,High,Yes,No,"Playground, Gym, Pool, Clubhouse, Garden",West,Builder,Ready_to_Move
Somajiguda,Apartment,2,3003,23.39,0.01,1995,Unfurnished,29,6,30,4,4,Medium,Yes,Yes,Clubhouse,North,Broker,Under_Construction
Hitech City,Villa,2,1381,338.43,0.25,2004,Unfurnished,21,5,21,7,2,Low,No,Yes,"Clubhouse, Playground",East,Broker,Under_Construction
Narsingi,Villa,2,4241,210.77,0.05,2015,Furnished,28,28,10,10,2,Low,No,Yes,"Garden, Clubhouse",South,Builder,Ready_to_Move
Banjara Hills,Villa,4,3531,495.34,0.14,2004,Furnished,25,29,21,8,8,Low,Yes,Yes,"Clubhouse, Pool, Gym, Playground, Garden",North,Broker,Under_Construction
Raidurg,Independent House,1,4920,210.09,0.04,1990,Furnished,18,26,35,5,10,Low,Yes,Yes,"Gym, Garden, Clubhouse",South,Broker,Under_Construction
Madhapur,Villa,2,3494,358.45,0.1,2015,Furnished,21,24,10,7,8,High,No,Yes,"Garden, Gym",East,Broker,Ready_to_Move
Nanakramguda,Apartment,1,4064,50.37,0.01,2005,Semi-furnished,18,6,20,3,9,Low,No,No,"Playground, Pool",North,Owner,Ready_to_Move
Nanakramguda,Apartment,2,2802,371.01,0.13,2022,Unfurnished,19,19,3,6,5,High,Yes,No,"Clubhouse, Gym",North,Owner,Ready_to_Move
Madhapur,Apartment,4,2879,329.52,0.11,2013,Unfurnished,15,4,12,10,2,Low,Yes,No,"Garden, Playground, Clubhouse, Pool, Gym",East,Broker,Under_Construction
Somajiguda,Apartment,1,1486,249.49,0.17,2008,Unfurnished,3,2,17,3,8,Low,Yes,Yes,"Garden, Clubhouse, Pool, Gym, Playground",West,Owner,Under_Construction
Narsingi,Independent House,3,3854,123.59,0.03,2019,Semi-furnished,1,28,6,10,9,Medium,Yes,No,"Clubhouse, Garden, Pool, Playground, Gym",West,Builder,Ready_to_Move
Raidurg,Independent House,5,4241,139.54,0.03,2012,Unfurnished,0,6,13,1,6,Medium,Yes,Yes,"Gym, Playground, Clubhouse",North,Builder,Under_Construction
Nanakramguda,Independent House,1,4407,188.16,0.04,2007,Unfurnished,6,29,18,8,4,High,Yes,Yes,"Garden, Playground",North,Broker,Under_Construction
Banjara Hills,Independent House,2,4087,31.95,0.01,2013,Unfurnished,28,17,12,2,6,Low,Yes,Yes,"Gym, Pool, Playground, Clubhouse, Garden",North,Owner,Under_Construction
Banjara Hills,Apartment,1,4274,456.9,0.11,1998,Unfurnished,5,22,27,6,9,Medium,No,No,"Clubhouse, Garden, Pool, Gym",North,Builder,Under_Construction
Financial District,Villa,5,4738,439.72,0.09,2003,Unfurnished,7,22,22,10,3,High,No,Yes,"Playground, Pool, Clubhouse, Garden",South,Owner,Ready_to_Move
Gachibowli,Villa,3,1741,108.42,0.06,2013,Semi-furnished,1,20,12,2,9,High,Yes,Yes,"Gym, Playground, Clubhouse, Pool, Garden",West,Builder,Under_Construction
Gachibowli,Independent House,5,1380,26.57,0.02,2008,Unfurnished,23,6,17,3,5,Medium,No,Yes,Playground,South,Broker,Under_Construction
Khanapur,Villa,4,1727,18.57,0.01,2008,Semi-furnished,15,14,17,6,7,Medium,Yes,No,"Gym, Clubhouse, Playground",South,Owner,Ready_to_Move
Financial District,Independent House,5,1285,99.47,0.08,1998,Semi-furnished,9,6,27,10,5,Low,Yes,Yes,"Gym, Clubhouse",East,Owner,Under_Construction
Gachibowli,Villa,3,1082,85.4,0.08,2022,Furnished,2,7,3,1,5,High,No,Yes,"Gym, Clubhouse, Garden, Pool, Playground",North,Owner,Under_Construction
Jubilee Hills,Independent House,2,4078,381.09,0.09,2015,Unfurnished,15,10,10,10,9,High,Yes,No,"Garden, Clubhouse, Pool, Playground, Gym",West,Builder,Ready_to_Move
Begumpet,Villa,2,1867,416.35,0.22,2006,Semi-furnished,20,16,19,10,8,Low,No,Yes,Gym,North,Owner,Ready_to_Move
Jubilee Hills,Villa,5,1512,36.05,0.02,2002,Unfurnished,12,14,23,4,5,High,No,No,"Clubhouse, Garden",East,Builder,Ready_to_Move
Madhapur,Apartment,3,4144,199.96,0.05,2020,Furnished,11,7,5,8,1,Low,No,Yes,"Pool, Gym, Clubhouse, Playground, Garden",East,Broker,Under_Construction
Banjara Hills,Villa,5,2341,51.7,0.02,1994,Unfurnished,14,20,31,10,10,High,No,Yes,"Gym, Pool",West,Builder,Under_Construction
Somajiguda,Apartment,5,4005,284.0,0.07,2005,Semi-furnished,10,25,20,9,5,High,Yes,No,"Gym, Pool, Garden, Playground, Clubhouse",West,Owner,Ready_to_Move
Jubilee Hills,Independent House,5,4057,36.51,0.01,2007,Furnished,23,5,18,1,1,Medium,No,No,"Playground, Gym",North,Builder,Ready_to_Move
Banjara Hills,Villa,1,3750,70.31,0.02,2003,Unfurnished,27,18,22,3,5,Medium,No,Yes,Garden,North,Broker,Ready_to_Move
Raidurg,Villa,5,3071,180.84,0.06,2006,Unfurnished,14,28,19,6,2,Low,Yes,Yes,"Garden, Clubhouse, Playground",West,Owner,Under_Construction
Kokapet,Villa,3,2389,270.13,0.11,1992,Furnished,19,16,33,7,2,High,Yes,Yes,"Garden, Playground, Clubhouse, Gym",North,Builder,Under_Construction
Somajiguda,Villa,4,3568,260.0,0.07,2017,Semi-furnished,3,24,8,3,6,Medium,Yes,No,"Playground, Garden",East,Builder,Under_Construction
Kavuri Hills,Apartment,4,3267,84.9,0.03,1992,Semi-furnished,8,12,33,5,5,Low,Yes,Yes,"Garden, Playground, Clubhouse, Pool, Gym",East,Owner,Under_Construction
Hitech City,Apartment,1,1584,357.0,0.23,2012,Furnished,16,29,13,5,9,High,No,Yes,Garden,North,Broker,Under_Construction
Madhapur,Independent House,3,3329,483.39,0.15,2005,Unfurnished,9,10,20,3,3,Medium,No,Yes,"Playground, Pool, Gym, Garden, Clubhouse",South,Builder,Under_Construction
Begumpet,Apartment,3,3340,11.36,0.0,2009,Semi-furnished,4,22,16,8,7,High,Yes,No,"Garden, Playground, Gym",West,Builder,Under_Construction
Narsingi,Independent House,4,2710,395.83,0.15,1990,Furnished,5,12,35,8,10,Medium,No,Yes,"Pool, Clubhouse, Playground, Gym",West,Builder,Under_Construction
Khanapur,Villa,3,3264,329.38,0.1,2021,Semi-furnished,11,29,4,10,9,Low,Yes,Yes,"Garden, Gym, Pool",North,Broker,Ready_to_Move
Somajiguda,Apartment,3,4076,54.13,0.01,1990,Furnished,10,24,35,4,5,Low,No,Yes,"Pool, Clubhouse, Playground, Garden",South,Broker,Ready_to_Move
Narsingi,Villa,3,3984,445.21,0.11,1991,Furnished,0,11,34,1,6,High,No,No,"Gym, Clubhouse",East,Builder,Under_Construction
Madhapur,Villa,5,2795,361.35,0.13,1991,Unfurnished,29,6,34,4,8,Medium,Yes,No,"Playground, Gym, Clubhouse, Garden",North,Owner,Ready_to_Move
Jubilee Hills,Apartment,5,3370,74.55,0.02,2002,Furnished,26,6,23,3,9,High,Yes,No,"Playground, Gym, Pool, Garden",South,Builder,Ready_to_Move
Kokapet,Independent House,5,570,258.58,0.45,2001,Furnished,8,28,24,7,10,Medium,Yes,No,"Garden, Playground, Gym",North,Owner,Under_Construction
Financial District,Apartment,3,1035,104.09,0.1,1990,Semi-furnished,14,14,35,2,1,Low,Yes,No,"Clubhouse, Playground",South,Broker,Under_Construction
Film Nagar,Villa,1,4738,356.78,0.08,2007,Unfurnished,0,4,18,9,5,High,No,No,"Pool, Playground, Garden, Clubhouse, Gym",East,Broker,Ready_to_Move
Banjara Hills,Independent House,4,1150,340.92,0.3,2002,Semi-furnished,14,8,23,7,5,High,Yes,Yes,"Gym, Garden, Clubhouse, Playground, Pool",South,Owner,Under_Construction
Narsingi,Independent House,2,4449,217.07,0.05,2022,Furnished,14,20,3,9,7,Low,Yes,No,"Garden, Playground",East,Broker,Under_Construction
Jubilee Hills,Villa,5,4137,38.79,0.01,2003,Semi-furnished,4,25,22,10,1,Medium,Yes,Yes,"Playground, Garden",South,Broker,Under_Construction
Gachibowli,Independent House,3,3153,380.2,0.12,2022,Unfurnished,17,9,3,3,8,Medium,Yes,Yes,"Gym, Clubhouse, Garden, Pool, Playground",South,Owner,Under_Construction
Hitech City,Independent House,3,4116,68.85,0.02,2014,Furnished,20,8,11,8,5,High,No,No,"Playground, Gym, Pool",North,Builder,Under_Construction
Madhapur,Independent House,3,3747,329.32,0.09,1996,Furnished,14,30,29,8,10,Low,No,No,"Garden, Clubhouse, Playground, Gym",West,Builder,Ready_to_Move
Begumpet,Apartment,5,1447,387.57,0.27,2022,Unfurnished,5,9,3,2,4,Low,No,No,"Garden, Playground, Clubhouse",North,Owner,Under_Construction
Somajiguda,Villa,3,957,417.63,0.44,2012,Unfurnished,23,15,13,8,2,Low,Yes,No,"Garden, Clubhouse, Gym, Pool",North,Owner,Under_Construction
Madhapur,Independent House,1,4021,168.78,0.04,2001,Semi-furnished,3,23,24,1,7,Medium,No,No,"Playground, Clubhouse",South,Broker,Under_Construction
Raidurg,Independent House,5,4499,415.12,0.09,2009,Unfurnished,27,8,16,6,10,Medium,Yes,No,"Playground, Gym",East,Broker,Ready_to_Move
Banjara Hills,Apartment,5,2914,45.49,0.02,1990,Furnished,26,13,35,2,4,High,Yes,No,Gym,North,Builder,Ready_to_Move
Madhapur,Villa,4,2524,158.55,0.06,1998,Unfurnished,4,23,27,1,2,High,Yes,Yes,Gym,North,Builder,Under_Construction
Hitech City,Villa,5,2594,89.5,0.03,2021,Furnished,18,10,4,1,5,Medium,No,Yes,"Playground, Clubhouse, Pool, Gym",West,Builder,Under_Construction
Khanapur,Apartment,5,3151,203.4,0.06,2010,Unfurnished,19,8,15,5,2,High,No,No,"Clubhouse, Pool, Playground, Gym, Garden",East,Broker,Ready_to_Move
Banjara Hills,Independent House,1,903,130.16,0.14,1990,Furnished,18,24,35,7,2,High,No,Yes,"Playground, Pool, Garden, Clubhouse",North,Owner,Under_Construction
Raidurg,Apartment,1,3928,44.64,0.01,2014,Unfurnished,30,13,11,2,3,High,No,Yes,"Playground, Clubhouse, Pool, Gym, Garden",North,Owner,Under_Construction
Khanapur,Villa,5,3763,267.3,0.07,2005,Unfurnished,28,17,20,9,2,High,No,No,Gym,South,Broker,Under_Construction
Madhapur,Villa,1,4793,285.71,0.06,2023,Furnished,11,22,2,7,4,Medium,Yes,Yes,Pool,West,Owner,Ready_to_Move
Jubilee Hills,Independent House,2,1055,199.25,0.19,2009,Semi-furnished,1,4,16,5,7,Low,Yes,Yes,"Pool, Playground, Clubhouse, Garden",South,Broker,Ready_to_Move
Gachibowli,Villa,3,3129,307.18,0.1,2004,Semi-furnished,7,27,21,6,4,High,No,Yes,"Clubhouse, Pool, Gym, Garden",East,Builder,Ready_to_Move
Somajiguda,Apartment,3,890,185.3,0.21,2008,Semi-furnished,4,27,17,3,3,Low,No,No,"Garden, Playground",West,Builder,Ready_to_Move
Khanapur,Villa,1,1304,277.54,0.21,2020,Semi-furnished,17,23,5,10,2,Low,No,No,"Pool, Playground",East,Broker,Ready_to_Move
Kokapet,Villa,1,989,414.66,0.42,2004,Unfurnished,17,5,21,4,5,Medium,Yes,Yes,"Garden, Pool",North,Broker,Under_Construction
Somajiguda,Apartment,4,2609,119.26,0.05,1992,Furnished,21,22,33,5,1,Medium,Yes,No,Pool,East,Builder,Under_Construction
Kokapet,Apartment,3,520,313.32,0.6,2011,Unfurnished,26,19,14,5,10,High,Yes,Yes,"Pool, Garden, Gym, Clubhouse",North,Broker,Under_Construction
Gachibowli,Independent House,4,3979,441.36,0.11,2004,Unfurnished,23,15,21,9,2,High,Yes,No,Playground,North,Owner,Ready_to_Move
Gachibowli,Villa,1,3003,179.66,0.06,2006,Furnished,11,10,19,2,10,Medium,Yes,Yes,"Gym, Garden, Playground, Pool",West,Broker,Ready_to_Move
Narsingi,Villa,5,4676,205.87,0.04,2013,Semi-furnished,11,15,12,1,1,High,No,Yes,"Playground, Pool, Gym, Garden, Clubhouse",West,Builder,Ready_to_Move
Narsingi,Independent House,5,3701,479.43,0.13,2012,Furnished,2,3,13,9,5,Medium,Yes,No,"Gym, Playground, Clubhouse, Garden, Pool",West,Builder,Under_Construction
Financial District,Apartment,1,1227,98.01,0.08,2008,Semi-furnished,19,14,17,10,8,High,Yes,No,"Pool, Clubhouse, Gym, Playground",East,Owner,Under_Construction
Narsingi,Villa,4,3804,80.02,0.02,1999,Furnished,3,12,26,4,2,High,Yes,Yes,"Clubhouse, Pool, Playground",East,Builder,Ready_to_Move
Nanakramguda,Apartment,2,961,271.17,0.28,1998,Unfurnished,3,26,27,3,2,High,Yes,Yes,Pool,East,Broker,Ready_to_Move
Somajiguda,Independent House,3,4627,175.64,0.04,2018,Unfurnished,7,2,7,3,5,Medium,Yes,Yes,"Playground, Pool, Gym, Garden, Clubhouse",North,Builder,Under_Construction
Gachibowli,Independent House,1,1618,200.18,0.12,2009,Semi-furnished,15,19,16,8,8,Low,No,Yes,"Gym, Playground, Pool",North,Builder,Under_Construction
Kavuri Hills,Villa,2,2282,174.26,0.08,2008,Furnished,12,24,17,5,7,Medium,No,No,"Playground, Clubhouse, Gym",North,Broker,Ready_to_Move
Jubilee Hills,Independent House,5,1365,337.02,0.25,2014,Semi-furnished,0,16,11,2,3,High,No,No,"Playground, Gym",North,Owner,Under_Construction
Jubilee Hills,Independent House,1,3761,55.62,0.01,2001,Unfurnished,14,28,24,4,10,Low,No,No,"Gym, Playground",North,Builder,Under_Construction
Banjara Hills,Independent House,4,1929,272.9,0.14,1996,Furnished,22,30,29,7,6,Low,No,Yes,"Pool, Garden, Playground",South,Broker,Ready_to_Move
Kokapet,Independent House,5,1626,59.49,0.04,2019,Unfurnished,17,2,6,4,4,Medium,Yes,Yes,"Playground, Gym, Clubhouse",West,Broker,Ready_to_Move
Kavuri Hills,Independent House,5,4675,251.77,0.05,1990,Unfurnished,5,4,35,4,1,Low,Yes,No,"Pool, Playground, Garden, Clubhouse, Gym",East,Owner,Ready_to_Move
Jubilee Hills,Apartment,5,1110,232.51,0.21,2021,Semi-furnished,17,6,4,10,8,Low,No,Yes,Garden,East,Owner,Under_Construction
Somajiguda,Independent House,2,4077,190.82,0.05,1991,Semi-furnished,6,5,34,4,4,Low,Yes,No,"Playground, Gym, Clubhouse",South,Broker,Ready_to_Move
Kokapet,Apartment,1,4812,407.72,0.08,2002,Semi-furnished,14,13,23,5,5,High,Yes,No,"Pool, Garden, Gym, Clubhouse, Playground",East,Builder,Ready_to_Move
Banjara Hills,Independent House,4,2468,201.3,0.08,1995,Semi-furnished,2,14,30,4,10,High,Yes,Yes,Clubhouse,South,Builder,Under_Construction
Raidurg,Independent House,3,3478,157.84,0.05,2002,Furnished,14,14,23,5,1,High,Yes,No,"Pool, Gym, Clubhouse, Playground, Garden",West,Owner,Ready_to_Move
Khanapur,Apartment,4,3203,153.28,0.05,2008,Furnished,5,5,17,2,8,Medium,No,Yes,"Garden, Clubhouse, Pool, Gym",East,Broker,Under_Construction
Hitech City,Independent House,1,590,273.6,0.46,2001,Furnished,21,7,24,3,1,Low,No,No,"Garden, Gym",West,Owner,Ready_to_Move
Madhapur,Apartment,3,1481,67.5,0.05,2013,Unfurnished,4,18,12,9,4,Low,No,No,Playground,South,Builder,Ready_to_Move
Financial District,Villa,1,1357,271.6,0.2,2006,Unfurnished,27,16,19,4,10,Medium,Yes,Yes,Garden,North,Builder,Under_Construction
Financial District,Apartment,4,4025,338.71,0.08,2009,Semi-furnished,29,12,16,1,10,High,Yes,Yes,Clubhouse,East,Builder,Ready_to_Move
Narsingi,Villa,4,2783,487.63,0.18,1995,Semi-furnished,2,12,30,7,1,Low,Yes,No,"Playground, Clubhouse, Pool",North,Builder,Ready_to_Move
Financial District,Villa,2,867,282.53,0.33,2005,Unfurnished,16,18,20,2,6,Medium,Yes,No,Clubhouse,West,Owner,Ready_to_Move
Narsingi,Independent House,3,2204,496.78,0.23,2020,Semi-furnished,7,22,5,10,3,High,No,No,"Clubhouse, Pool, Gym",East,Owner,Under_Construction
Begumpet,Villa,4,3151,256.09,0.08,2014,Semi-furnished,6,28,11,5,5,Medium,Yes,Yes,Playground,South,Broker,Ready_to_Move
Raidurg,Apartment,3,3850,221.02,0.06,2013,Unfurnished,29,16,12,4,6,High,No,Yes,"Gym, Playground, Pool",East,Builder,Ready_to_Move
Kavuri Hills,Independent House,2,3195,313.8,0.1,2001,Furnished,0,2,24,2,2,Medium,No,No,"Clubhouse, Playground",East,Owner,Ready_to_Move
Khanapur,Independent House,3,1636,190.83,0.12,1996,Unfurnished,13,20,29,6,1,Low,Yes,No,"Clubhouse, Pool, Garden, Gym",South,Broker,Ready_to_Move
Film Nagar,Apartment,3,2137,348.07,0.16,2023,Furnished,25,24,2,8,9,Medium,No,Yes,"Clubhouse, Garden",East,Owner,Under_Construction
Banjara Hills,Apartment,1,1051,216.66,0.21,2006,Furnished,25,5,19,7,10,Medium,Yes,No,"Playground, Garden",North,Builder,Ready_to_Move
Narsingi,Villa,1,1271,119.11,0.09,2011,Unfurnished,16,3,14,10,10,High,No,No,"Clubhouse, Playground, Pool, Garden",South,Builder,Under_Construction
Gachibowli,Independent House,1,1010,166.61,0.16,2010,Semi-furnished,23,17,15,9,8,Low,No,No,"Garden, Pool, Playground, Gym, Clubhouse",South,Owner,Under_Construction
Gachibowli,Villa,5,1990,35.66,0.02,2001,Semi-furnished,19,25,24,4,9,Low,No,Yes,Playground,West,Broker,Under_Construction
Financial District,Villa,4,3086,48.99,0.02,2002,Semi-furnished,10,19,23,6,2,Low,No,Yes,"Pool, Playground, Clubhouse, Gym",North,Builder,Under_Construction
Narsingi,Villa,1,1750,338.19,0.19,2015,Semi-furnished,7,7,10,1,7,Medium,No,No,"Pool, Garden, Playground",South,Broker,Under_Construction
Financial District,Apartment,1,503,150.41,0.3,2017,Furnished,15,9,8,8,8,High,Yes,No,"Pool, Garden, Gym, Playground, Clubhouse",West,Builder,Under_Construction
Somajiguda,Villa,3,810,222.38,0.27,2002,Unfurnished,0,21,23,5,4,Low,No,No,Gym,East,Builder,Under_Construction
Begumpet,Apartment,4,2375,101.93,0.04,2022,Semi-furnished,22,1,3,4,1,High,Yes,Yes,Pool,East,Owner,Under_Construction
Film Nagar,Villa,4,3429,146.81,0.04,2023,Furnished,26,18,2,2,5,High,Yes,No,"Playground, Clubhouse",East,Owner,Under_Construction
Nanakramguda,Independent House,4,2195,451.27,0.21,2009,Semi-furnished,11,12,16,7,1,Low,No,Yes,"Garden, Gym, Pool, Playground",West,Owner,Ready_to_Move
Somajiguda,Villa,1,4605,456.86,0.1,2010,Furnished,19,23,15,5,8,Medium,No,Yes,"Pool, Gym, Garden",South,Owner,Ready_to_Move
Banjara Hills,Villa,3,2926,267.04,0.09,1999,Unfurnished,4,2,26,10,9,High,No,Yes,Clubhouse,South,Builder,Ready_to_Move
Hitech City,Villa,5,4920,146.42,0.03,2014,Unfurnished,6,30,11,7,4,Low,Yes,No,"Gym, Clubhouse, Playground, Garden",North,Owner,Under_Construction
Kokapet,Villa,1,598,361.25,0.6,2004,Semi-furnished,3,16,21,3,8,Low,No,No,Playground,North,Broker,Ready_to_Move
Nanakramguda,Independent House,1,2202,356.13,0.16,2023,Furnished,7,29,2,3,10,High,No,Yes,"Clubhouse, Playground, Pool, Gym",South,Builder,Under_Construction
Kavuri Hills,Villa,4,3460,87.52,0.03,2003,Furnished,4,9,22,8,7,Medium,Yes,Yes,"Garden, Gym, Pool",South,Broker,Ready_to_Move
Khanapur,Villa,1,4761,155.39,0.03,1992,Unfurnished,21,23,33,8,8,Low,Yes,No,"Clubhouse, Gym, Garden",East,Owner,Ready_to_Move
Khanapur,Apartment,5,1327,311.46,0.23,1999,Unfurnished,13,10,26,5,1,Medium,Yes,No,"Pool, Garden, Clubhouse, Playground",North,Owner,Ready_to_Move
Begumpet,Apartment,1,4198,74.48,0.02,2022,Furnished,11,8,3,6,4,Low,No,Yes,"Gym, Clubhouse, Playground",West,Broker,Ready_to_Move
Jubilee Hills,Independent House,1,3037,385.84,0.13,2013,Semi-furnished,15,27,12,5,8,Low,Yes,Yes,"Pool, Garden, Clubhouse, Playground",West,Builder,Under_Construction
Somajiguda,Independent House,3,2510,439.87,0.18,2016,Furnished,23,14,9,2,2,Low,No,Yes,"Garden, Pool, Gym, Playground, Clubhouse",East,Broker,Under_Construction
Raidurg,Apartment,2,4932,349.26,0.07,2000,Unfurnished,11,13,25,7,7,Medium,No,No,"Garden, Clubhouse",South,Broker,Under_Construction
Hitech City,Apartment,1,1176,205.36,0.17,2016,Unfurnished,24,5,9,10,7,High,No,No,"Gym, Playground, Clubhouse, Pool, Garden",South,Owner,Ready_to_Move
Somajiguda,Independent House,5,2843,27.6,0.01,2009,Furnished,17,8,16,2,9,Low,Yes,Yes,"Garden, Clubhouse",East,Builder,Under_Construction
Raidurg,Independent House,1,4764,168.74,0.04,2023,Semi-furnished,27,23,2,7,8,High,No,Yes,Pool,East,Broker,Under_Construction
Banjara Hills,Independent House,3,3969,413.91,0.1,1997,Furnished,23,23,28,1,5,Medium,No,No,"Gym, Garden, Playground, Pool, Clubhouse",East,Owner,Under_Construction
Begumpet,Apartment,3,796,148.58,0.19,1999,Semi-furnished,11,11,26,6,6,Low,Yes,No,Clubhouse,East,Builder,Under_Construction
Narsingi,Independent House,3,1618,414.33,0.26,1995,Furnished,21,3,30,6,4,Medium,Yes,No,"Pool, Gym, Garden, Clubhouse, Playground",North,Broker,Under_Construction
Gachibowli,Villa,3,4226,17.67,0.0,2017,Semi-furnished,28,15,8,3,7,Low,Yes,No,"Playground, Gym, Clubhouse",North,Builder,Ready_to_Move
Somajiguda,Apartment,1,1501,28.17,0.02,2009,Furnished,6,8,16,2,1,Low,No,Yes,"Playground, Pool, Gym",East,Builder,Under_Construction
Madhapur,Independent House,4,4913,482.0,0.1,1999,Unfurnished,24,24,26,5,4,Low,Yes,No,Garden,West,Owner,Ready_to_Move
Raidurg,Independent House,5,4845,313.12,0.06,1995,Unfurnished,0,6,30,7,1,Low,No,No,"Playground, Clubhouse, Gym",West,Builder,Ready_to_Move
Khanapur,Apartment,1,4603,282.96,0.06,2010,Semi-furnished,23,25,15,2,7,Medium,Yes,No,"Garden, Pool",East,Builder,Ready_to_Move
Banjara Hills,Apartment,3,4099,477.37,0.12,2018,Unfurnished,30,13,7,2,10,Medium,Yes,Yes,"Garden, Clubhouse, Playground, Gym",North,Broker,Ready_to_Move
Madhapur,Independent House,4,3935,160.34,0.04,1998,Furnished,22,14,27,8,2,Medium,Yes,No,"Playground, Gym",East,Owner,Under_Construction
Khanapur,Villa,1,2465,416.92,0.17,1990,Unfurnished,15,28,35,10,4,Low,Yes,Yes,"Gym, Clubhouse, Pool, Playground",East,Broker,Under_Construction
Banjara Hills,Independent House,3,2696,164.59,0.06,1998,Unfurnished,18,18,27,3,4,Medium,Yes,No,"Playground, Clubhouse, Gym",North,Broker,Under_Construction
Begumpet,Apartment,3,3129,85.29,0.03,1999,Semi-furnished,9,12,26,8,7,Medium,No,No,"Garden, Pool, Clubhouse, Gym",West,Owner,Ready_to_Move
Hitech City,Villa,1,2133,278.3,0.13,2004,Unfurnished,7,18,21,1,9,Low,Yes,Yes,Pool,North,Broker,Under_Construction
Madhapur,Apartment,1,1690,136.38,0.08,2006,Semi-furnished,22,5,19,9,10,Medium,No,Yes,"Playground, Pool, Clubhouse, Garden",North,Owner,Under_Construction
Gachibowli,Apartment,4,1569,155.71,0.1,2015,Semi-furnished,26,25,10,3,9,Low,Yes,No,"Garden, Playground, Clubhouse, Gym, Pool",South,Owner,Under_Construction
Banjara Hills,Villa,2,4467,385.87,0.09,1995,Semi-furnished,15,12,30,1,5,Medium,No,Yes,"Pool, Garden, Playground, Gym, Clubhouse",North,Owner,Under_Construction
Narsingi,Villa,3,3885,225.24,0.06,2000,Semi-furnished,18,22,25,2,7,Medium,Yes,Yes,Gym,West,Builder,Ready_to_Move
Banjara Hills,Apartment,1,2964,140.52,0.05,2014,Unfurnished,19,27,11,6,6,Low,Yes,Yes,"Playground, Pool",North,Broker,Ready_to_Move
